"","player","season","team","games","salary","inflation_adjusted_salary","war","new_contract_source","contract_term","contract_start_season","contract_end_season","year_into_contract","contract_completion_percentage","position"
"8177","Reggie Jackson",1976,"New York Yankees",134,0.2,0.82,5.3,"free agency",5,1977,1982,0,0,"Rightfielder"
"8198","Reggie Jackson",1977,"New York Yankees",146,0.525,2.022,4.5,"free agency",5,1977,1982,1,0.2,"Rightfielder"
"8319","Rick Dempsey",1977,"Baltimore Orioles",91,0.04,0.154,1.3,"re-signinging",5,1978,1983,0,0,"Catcher"
"9069","Terry Forster",1977,"Los Angeles Dodgers",33,0.05,0.193,-0.2,"free agency",5,1978,1983,0,0,"Pitcher"
"8240","Reggie Jackson",1978,"New York Yankees",139,0.525,1.879,3.5,"free agency",5,1977,1982,2,0.4,"Rightfielder"
"8413","Rod Carew",1978,"California Angels",152,0.2,0.716,4.9,"re-signinging",5,1979,1984,0,0,"First Baseman, Second Baseman"
"9049","Terry Forster",1978,"Los Angeles Dodgers",47,0.17,0.608,1.6,"free agency",5,1978,1983,1,0.2,"Pitcher"
"2922","Craig Swan",1979,"New York Mets",35,0.09,0.289,4.6,"free agency",5,1980,1985,0,0,"Pitcher"
"5840","John Stearns",1979,"New York Mets",155,0.3,0.965,1.4,"free agency",5,1979,1984,1,0.2,"Catcher, First Baseman, Third Baseman"
"8261","Reggie Jackson",1979,"New York Yankees",131,0.525,1.689,3.5,"free agency",5,1977,1982,3,0.6,"Rightfielder"
"8428","Rod Carew",1979,"California Angels",110,0.8,2.573,2.6,"re-signinging",5,1979,1984,1,0.2,"First Baseman, Second Baseman"
"9089","Terry Forster",1979,"Los Angeles Dodgers",17,0.17,0.547,-0.4,"free agency",5,1978,1983,2,0.4,"Pitcher"
"591","Al Hrabosky",1980,"Atlanta Braves",45,0.44,1.247,0.2,"free agency",5,1980,1985,1,0.2,"Pitcher"
"2930","Craig Swan",1980,"New York Mets",21,0.56,1.587,1.2,"free agency",5,1980,1985,1,0.2,"Pitcher"
"3894","Don Stanhouse",1980,"Los Angeles Dodgers",21,0.42,1.19,-0.7,"free agency",5,1980,1985,1,0.2,"Pitcher"
"3920","Doug Flynn",1980,"New York Mets",128,0.14,0.397,1,"free agency",5,1981,1986,0,0,"Second Baseman, Shortstop, Third Baseman"
"5792","John Curtis",1980,"San Diego Padres",30,0.415,1.176,1.1,"free agency",5,1980,1985,1,0.2,"Pitcher"
"8282","Reggie Jackson",1980,"New York Yankees",143,0.525,1.487,4.8,"free agency",5,1977,1982,4,0.8,"Rightfielder"
"8338","Rick Wise",1980,"San Diego Padres",27,0.35,0.992,1.2,"free agency",5,1980,1985,1,0.2,"Pitcher"
"8398","Rod Carew",1980,"California Angels",144,0.8,2.267,3.4,"re-signinging",5,1979,1984,2,0.4,"First Baseman, Second Baseman"
"9059","Terry Forster",1980,"Los Angeles Dodgers",9,0.17,0.482,0.1,"free agency",5,1978,1983,3,0.6,"Pitcher"
"603","Al Hrabosky",1981,"Atlanta Braves",24,0.44,1.13,1.2,"free agency",5,1980,1985,2,0.4,"Pitcher"
"2938","Craig Swan",1981,"New York Mets",5,0.56,1.438,0.1,"free agency",5,1980,1985,2,0.4,"Pitcher"
"3237","Dave Roberts",1981,"Houston Astros",27,0.26,0.668,-0.1,"free agency",5,1981,1986,1,0.2,"Third Baseman, Catcher, Second Baseman"
"3247","Dave Winfield",1981,"New York Yankees",105,1.3,3.338,2.6,"free agency",10,1981,1991,1,0.1,"Rightfielder"
"3910","Doug Flynn",1981,"New York Mets",105,0.17,0.437,-0.3,"free agency",5,1981,1986,1,0.2,"Second Baseman, Shortstop, Third Baseman"
"5780","John Curtis",1981,"San Diego Padres",28,0.34,0.873,-0.8,"free agency",5,1980,1985,2,0.4,"Pitcher"
"5846","John Stearns",1981,"New York Mets",80,0.4,1.027,1.9,"free agency",5,1979,1984,3,0.6,"Catcher, First Baseman, Third Baseman"
"7488","Mike Schmidt",1981,"Philadelphia Phillies",102,0.56,1.438,7.7,"re-signinging",6,1982,1988,0,0,"Third Baseman, First Baseman"
"8219","Reggie Jackson",1981,"New York Yankees",94,0.588,1.51,1,"free agency",5,1977,1982,5,1,"Rightfielder"
"8346","Rick Wise",1981,"San Diego Padres",18,0.4,1.027,0.5,"free agency",5,1980,1985,2,0.4,"Pitcher"
"8458","Rod Carew",1981,"California Angels",93,0.8,2.054,3,"re-signinging",5,1979,1984,3,0.6,"First Baseman, Second Baseman"
"9099","Terry Forster",1981,"Los Angeles Dodgers",21,0.17,0.437,0,"free agency",5,1978,1983,4,0.8,"Pitcher"
"597","Al Hrabosky",1982,"Atlanta Braves",31,0.44,1.064,-0.8,"free agency",5,1980,1985,3,0.6,"Pitcher"
"2914","Craig Swan",1982,"New York Mets",37,0.585,1.415,2.9,"free agency",5,1980,1985,3,0.6,"Pitcher"
"3242","Dave Roberts",1982,"Houston Astros",28,0.26,0.629,-0.4,"free agency",5,1981,1986,2,0.4,"Third Baseman, Catcher, Second Baseman"
"3902","Don Stanhouse",1982,"Los Angeles Dodgers",17,0.42,1.016,-0.2,"free agency",5,1980,1985,3,0.6,"Pitcher"
"4376","Greg Minton",1982,"San Francisco Giants",78,0.343,0.83,5.4,"free agency",5,1983,1988,0,0,"Pitcher"
"5786","John Curtis",1982,"San Diego Padres",34,0.34,0.822,-0.529,"free agency",5,1980,1985,3,0.6,"Pitcher"
"5858","John Stearns",1982,"New York Mets",98,0.4,0.968,3.8,"free agency",5,1979,1984,4,0.8,"Catcher, First Baseman, Third Baseman"
"7403","Mike Schmidt",1982,"Philadelphia Phillies",148,1.533,3.709,7.4,"re-signinging",6,1982,1988,1,0.17,"Third Baseman, First Baseman"
"8330","Rick Wise",1982,"San Diego Padres",1,0.4,0.968,-0.1,"free agency",5,1980,1985,3,0.6,"Pitcher"
"8443","Rod Carew",1982,"California Angels",138,0.8,1.935,4.7,"re-signinging",5,1979,1984,4,0.8,"First Baseman, Second Baseman"
"9079","Terry Forster",1982,"Los Angeles Dodgers",56,0.17,0.411,-0.2,"free agency",5,1978,1983,5,1,"Pitcher"
"2954","Craig Swan",1983,"New York Mets",27,0.66,1.547,-0.9,"free agency",5,1980,1985,4,0.8,"Pitcher"
"3048","Damaso Garcia",1983,"Toronto Blue Jays",131,0.4,0.938,1.1,"re-signinging",5,1984,1989,0,0,"Second Baseman"
"3292","Dave Winfield",1983,"New York Yankees",152,1.661,3.893,2.5,"free agency",10,1981,1991,3,0.3,"Rightfielder"
"4387","Greg Minton",1983,"San Francisco Giants",73,0.75,1.758,0.3,"free agency",5,1983,1988,1,0.2,"Pitcher"
"5768","John Curtis",1983,"San Diego Padres",37,0.34,0.797,0.7,"free agency",5,1980,1985,4,0.8,"Pitcher"
"5852","John Stearns",1983,"New York Mets",4,0.4,0.938,0,"free agency",5,1979,1984,5,1,"Catcher, First Baseman, Third Baseman"
"5864","Johnny Ray",1983,"Pittsburgh Pirates",151,0.165,0.387,5.1,"free agency",5,1984,1989,0,0,"Second Baseman"
"6311","Keith Hernandez",1983,"New York Mets",150,0.949,2.223,3.163,"free agency",5,1984,1989,0,0,"First Baseman"
"7420","Mike Schmidt",1983,"Philadelphia Phillies",154,1.786,4.185,6.8,"re-signinging",6,1982,1988,2,0.33,"Third Baseman, First Baseman"
"7785","Omar Moreno",1983,"Houston Astros",145,0.7,1.641,1.037,"free agency",5,1983,1988,1,0.2,"Centerfielder"
"8303","Reid Nichols",1983,"Boston Red Sox",100,0.1,0.234,0.8,"re-signinging",5,1984,1989,0,0,"Outfielder"
"8473","Rod Carew",1983,"California Angels",129,0.8,1.875,2.3,"re-signinging",5,1979,1984,5,1,"First Baseman, Second Baseman"
"8497","Ron Cey",1983,"Chicago Cubs",159,0.85,1.992,1.7,"free agency",5,1983,1988,1,0.2,"Third Baseman"
"9851","Willie Upshaw",1983,"Toronto Blue Jays",160,0.2,0.469,4.7,"re-signinging",5,1984,1989,0,0,"First Baseman, Leftfielder"
"2946","Craig Swan",1984,"New York Mets",12,0.76,1.708,-0.467,"free agency",5,1980,1985,5,1,"Pitcher"
"3352","Dave Winfield",1984,"New York Yankees",141,1.821,4.091,5.3,"free agency",10,1981,1991,4,0.4,"Rightfielder"
"4420","Greg Minton",1984,"San Francisco Giants",74,0.75,1.685,0.9,"free agency",5,1983,1988,2,0.4,"Pitcher"
"5774","John Curtis",1984,"San Diego Padres",17,0.365,0.82,0,"free agency",5,1980,1985,5,1,"Pitcher"
"5872","Johnny Ray",1984,"Pittsburgh Pirates",155,0.165,0.371,4.6,"free agency",5,1984,1989,1,0.2,"Second Baseman"
"6353","Keith Hernandez",1984,"New York Mets",154,1.673,3.759,6.3,"free agency",5,1984,1989,1,0.2,"First Baseman"
"6637","Kent Hrbek",1984,"Minnesota Twins",149,0.375,0.843,5.6,"re-signinging",5,1985,1990,0,0,"First Baseman"
"7471","Mike Schmidt",1984,"Philadelphia Phillies",151,2.023,4.546,7,"re-signinging",6,1982,1988,3,0.5,"Third Baseman, First Baseman"
"7779","Omar Moreno",1984,"Houston Astros",117,0.732,1.644,-0.1,"free agency",5,1983,1988,2,0.4,"Centerfielder"
"8515","Ron Cey",1984,"Chicago Cubs",146,0.9,2.022,1.6,"free agency",5,1983,1988,2,0.4,"Third Baseman"
"9113","Tom Brunansky",1984,"Minnesota Twins",155,0.215,0.483,2.8,"re-signinging",6,1985,1991,0,0,"Rightfielder"
"1056","Alfredo Griffin",1985,"Toronto Blue Jays",162,0.61,1.324,1,"re-signinging",5,1984,1989,2,0.4,"Shortstop"
"1615","Bill Buckner",1985,"Chicago Cubs",162,0.748,1.622,1.5,"re-signinging",5,1982,1987,4,0.8,"First Baseman, Leftfielder"
"1966","Bruce Sutter",1985,"Atlanta Braves",58,1.354,2.939,-0.1,"free agency",6,1985,1991,1,0.17,"Pitcher"
"3064","Damaso Garcia",1985,"Toronto Blue Jays",146,0.74,1.606,1.5,"re-signinging",5,1984,1989,2,0.4,"Second Baseman"
"3307","Dave Winfield",1985,"New York Yankees",155,1.796,3.898,3.4,"free agency",10,1981,1991,5,0.5,"Rightfielder"
"3915","Doug Flynn",1985,"New York Mets",41,0.35,0.76,-0.122,"free agency",5,1981,1986,5,1,"Second Baseman, Shortstop, Third Baseman"
"4409","Greg Minton",1985,"San Francisco Giants",68,0.865,1.877,0.7,"free agency",5,1983,1988,3,0.6,"Pitcher"
"5896","Johnny Ray",1985,"Pittsburgh Pirates",154,0.632,1.372,0.5,"free agency",5,1984,1989,2,0.4,"Second Baseman"
"6339","Keith Hernandez",1985,"New York Mets",158,1.1,2.388,5,"free agency",5,1984,1989,2,0.4,"First Baseman"
"6611","Kent Hrbek",1985,"Minnesota Twins",158,0.56,1.215,2.8,"re-signinging",5,1985,1990,1,0.2,"First Baseman"
"6805","Larry McWilliams",1985,"Pittsburgh Pirates",30,0.797,1.729,0.1,"re-signinging",5,1985,1990,1,0.2,"Pitcher"
"6826","Lee Smith",1985,"Chicago Cubs",65,0.67,1.454,2.6,"re-signinging",5,1984,1989,2,0.4,"Pitcher"
"6928","Lloyd Moseby",1985,"Toronto Blue Jays",152,0.588,1.275,3.1,"re-signinging",5,1984,1989,2,0.4,"Centerfielder"
"7505","Mike Schmidt",1985,"Philadelphia Phillies",158,2.13,4.624,5,"re-signinging",6,1982,1988,4,0.67,"Third Baseman, First Baseman"
"8313","Reid Nichols",1985,"Boston Red Sox",72,0.26,0.564,0.025,"re-signinging",5,1984,1989,2,0.4,"Outfielder"
"8318","Rich Dauer",1985,"Baltimore Orioles",85,0.48,1.042,0.2,"re-signinging",5,1981,1986,5,1,"Second Baseman, Third Baseman"
"8524","Ron Cey",1985,"Chicago Cubs",145,1.45,3.147,0.9,"free agency",5,1983,1988,3,0.6,"Third Baseman"
"8748","Ryne Sandberg",1985,"Chicago Cubs",153,0.505,1.096,5.8,"free agency",6,1984,1989,2,0.33,"Second Baseman, Third Baseman"
"9035","Steve Trout",1985,"Chicago Cubs",24,0.64,1.389,3,"free agency",5,1985,1990,1,0.2,"Pitcher"
"9109","Tippy Martinez",1985,"Baltimore Orioles",49,0.44,0.955,-1.3,"re-signinging",5,1981,1986,5,1,"Pitcher"
"9161","Tom Brunansky",1985,"Minnesota Twins",157,0.425,0.922,1.3,"re-signinging",6,1985,1991,1,0.17,"Rightfielder"
"9856","Willie Upshaw",1985,"Toronto Blue Jays",148,0.73,1.584,2.2,"re-signinging",5,1984,1989,2,0.4,"First Baseman, Leftfielder"
"1074","Alfredo Griffin",1986,"Toronto Blue Jays",162,0.578,1.23,3.4,"re-signinging",5,1984,1989,3,0.6,"Shortstop"
"1621","Bill Buckner",1986,"Chicago Cubs",153,0.785,1.672,-0.4,"re-signinging",5,1982,1987,5,1,"First Baseman, Leftfielder"
"1977","Bruce Sutter",1986,"Atlanta Braves",16,1.729,3.682,0.2,"free agency",6,1985,1991,2,0.33,"Pitcher"
"3040","Damaso Garcia",1986,"Toronto Blue Jays",122,0.79,1.682,-0.8,"re-signinging",5,1984,1989,3,0.6,"Second Baseman"
"3262","Dave Winfield",1986,"New York Yankees",154,1.887,4.018,3.1,"free agency",10,1981,1991,6,0.6,"Rightfielder"
"4431","Greg Minton",1986,"San Francisco Giants",48,0.765,1.629,-0.8,"free agency",5,1983,1988,4,0.8,"Pitcher"
"5880","Johnny Ray",1986,"Pittsburgh Pirates",155,0.757,1.612,4.4,"free agency",5,1984,1989,3,0.6,"Second Baseman"
"6367","Keith Hernandez",1986,"New York Mets",149,1.65,3.514,5.5,"free agency",5,1984,1989,3,0.6,"First Baseman"
"6533","Kent Hrbek",1986,"Minnesota Twins",149,1.06,2.257,2.9,"re-signinging",5,1985,1990,2,0.4,"First Baseman"
"6797","Larry McWilliams",1986,"Pittsburgh Pirates",49,1.08,2.3,-1,"re-signinging",5,1985,1990,2,0.4,"Pitcher"
"6852","Lee Smith",1986,"Chicago Cubs",66,0.72,1.533,3.2,"re-signinging",5,1984,1989,3,0.6,"Pitcher"
"6942","Lloyd Moseby",1986,"Toronto Blue Jays",152,0.732,1.56,2,"re-signinging",5,1984,1989,3,0.6,"Centerfielder"
"7454","Mike Schmidt",1986,"Philadelphia Phillies",160,2.137,4.55,6.1,"re-signinging",6,1982,1988,5,0.83,"Third Baseman, First Baseman"
"7791","Omar Moreno",1986,"Houston Astros",118,0.1,0.213,-1.4,"free agency",5,1983,1988,4,0.8,"Centerfielder"
"8488","Ron Cey",1986,"Chicago Cubs",97,1.4,2.981,1.8,"free agency",5,1983,1988,4,0.8,"Third Baseman"
"8770","Ryne Sandberg",1986,"Chicago Cubs",154,0.665,1.416,3.5,"free agency",6,1984,1989,3,0.5,"Second Baseman, Third Baseman"
"9021","Steve Trout",1986,"Chicago Cubs",37,0.89,1.895,1.4,"free agency",5,1985,1990,2,0.4,"Pitcher"
"9125","Tom Brunansky",1986,"Minnesota Twins",157,0.74,1.576,1.7,"re-signinging",6,1985,1991,2,0.33,"Rightfielder"
"9866","Willie Upshaw",1986,"Toronto Blue Jays",155,0.94,2.002,1.9,"re-signinging",5,1984,1989,3,0.6,"First Baseman, Leftfielder"
"1065","Alfredo Griffin",1987,"Toronto Blue Jays",144,0.608,1.249,1.7,"re-signinging",5,1984,1989,4,0.8,"Shortstop"
"3337","Dave Winfield",1987,"New York Yankees",156,1.912,3.928,1.8,"free agency",10,1981,1991,7,0.7,"Rightfielder"
"4398","Greg Minton",1987,"San Francisco Giants",56,0.75,1.541,1.205,"free agency",5,1983,1988,5,1,"Pitcher"
"5904","Johnny Ray",1987,"Pittsburgh Pirates",153,0.807,1.658,0.802,"free agency",5,1984,1989,4,0.8,"Second Baseman"
"6381","Keith Hernandez",1987,"New York Mets",154,1.8,3.699,3.4,"free agency",5,1984,1989,4,0.8,"First Baseman"
"6481","Kent Hrbek",1987,"Minnesota Twins",143,1.31,2.692,4.1,"re-signinging",5,1985,1990,3,0.6,"First Baseman"
"6781","Larry McWilliams",1987,"Pittsburgh Pirates",9,0.9,1.849,-0.1,"re-signinging",5,1985,1990,3,0.6,"Pitcher"
"6839","Lee Smith",1987,"Chicago Cubs",62,0.84,1.726,2.8,"re-signinging",5,1984,1989,4,0.8,"Pitcher"
"6935","Lloyd Moseby",1987,"Toronto Blue Jays",155,0.808,1.659,4,"re-signinging",5,1984,1989,4,0.8,"Centerfielder"
"7437","Mike Schmidt",1987,"Philadelphia Phillies",147,2.127,4.371,6.1,"re-signinging",6,1982,1988,6,1,"Third Baseman, First Baseman"
"8308","Reid Nichols",1987,"Boston Red Sox",77,0.062,0.128,0.9,"re-signinging",5,1984,1989,4,0.8,"Outfielder"
"8506","Ron Cey",1987,"Chicago Cubs",45,1.05,2.158,0,"free agency",5,1983,1988,5,1,"Third Baseman"
"8781","Ryne Sandberg",1987,"Chicago Cubs",132,0.76,1.562,2.4,"free agency",6,1984,1989,4,0.67,"Second Baseman, Third Baseman"
"9042","Steve Trout",1987,"Chicago Cubs",25,0.89,1.829,0.908,"free agency",5,1985,1990,3,0.6,"Pitcher"
"9173","Tom Brunansky",1987,"Minnesota Twins",155,0.94,1.931,2.5,"re-signinging",6,1985,1991,3,0.5,"Rightfielder"
"9861","Willie Upshaw",1987,"Toronto Blue Jays",150,0.94,1.931,1.6,"re-signinging",5,1984,1989,4,0.8,"First Baseman, Leftfielder"
"1083","Alfredo Griffin",1988,"Toronto Blue Jays",95,0.75,1.48,0.3,"re-signinging",5,1984,1989,5,1,"Shortstop"
"1988","Bruce Sutter",1988,"Atlanta Braves",38,1.729,3.413,-0.4,"free agency",6,1985,1991,4,0.67,"Pitcher"
"3056","Damaso Garcia",1988,"Toronto Blue Jays",21,0.692,1.365,-0.7,"re-signinging",5,1984,1989,5,1,"Second Baseman"
"3277","Dave Winfield",1988,"New York Yankees",149,1.959,3.866,5.4,"free agency",10,1981,1991,8,0.8,"Rightfielder"
"5888","Johnny Ray",1988,"Pittsburgh Pirates",153,0.732,1.445,2.5,"free agency",5,1984,1989,5,1,"Second Baseman"
"6325","Keith Hernandez",1988,"New York Mets",95,1.85,3.652,2.2,"free agency",5,1984,1989,5,1,"First Baseman"
"6403","Kent Hrbek",1988,"Minnesota Twins",143,1.41,2.783,4.4,"re-signinging",5,1985,1990,4,0.8,"First Baseman"
"6773","Larry McWilliams",1988,"Pittsburgh Pirates",42,0.062,0.123,0.7,"re-signinging",5,1985,1990,4,0.8,"Pitcher"
"6813","Lee Smith",1988,"Chicago Cubs",64,0.85,1.678,1.3,"re-signinging",5,1984,1989,5,1,"Pitcher"
"6921","Lloyd Moseby",1988,"Toronto Blue Jays",128,0.858,1.693,1.9,"re-signinging",5,1984,1989,5,1,"Centerfielder"
"8737","Ryne Sandberg",1988,"Chicago Cubs",155,0.84,1.658,4.6,"free agency",6,1984,1989,5,0.83,"Second Baseman, Third Baseman"
"9028","Steve Trout",1988,"Chicago Cubs",15,0.99,1.954,-1.5,"free agency",5,1985,1990,4,0.8,"Pitcher"
"9185","Tom Brunansky",1988,"Minnesota Twins",157,1.14,2.25,1.304,"re-signinging",6,1985,1991,4,0.67,"Rightfielder"
"9871","Willie Upshaw",1988,"Toronto Blue Jays",149,0.9,1.776,0.3,"re-signinging",5,1984,1989,5,1,"First Baseman, Leftfielder"
"3816","Don Mattingly",1989,"New York Yankees",158,2.2,4.143,4.2,"re-signinging",5,1990,1995,0,0,"First Baseman, Outfielder"
"6559","Kent Hrbek",1989,"Minnesota Twins",109,1.56,2.938,3.8,"re-signinging",5,1990,1995,0,0,"First Baseman"
"6789","Larry McWilliams",1989,"Pittsburgh Pirates",48,0.068,0.128,0.25,"re-signinging",5,1985,1990,5,1,"Pitcher"
"8759","Ryne Sandberg",1989,"Chicago Cubs",157,0.95,1.789,6.1,"free agency",6,1984,1989,6,1,"Second Baseman, Third Baseman"
"9014","Steve Trout",1989,"Chicago Cubs",19,0.105,0.198,-1.3,"free agency",5,1985,1990,5,1,"Pitcher"
"9137","Tom Brunansky",1989,"Minnesota Twins",158,1.24,2.335,1.7,"re-signinging",6,1985,1991,5,0.83,"Rightfielder"
"3205","Darryl Strawberry",1990,"Los Angeles Dodgers",152,1.85,3.306,6.3,"free agency",5,1991,1996,0,0,"Rightfielder"
"3322","Dave Winfield",1990,"New York Yankees",132,1.959,3.5,0.873,"free agency",10,1981,1991,10,1,"Rightfielder"
"3829","Don Mattingly",1990,"New York Yankees",102,2.5,4.467,-0.3,"re-signinging",5,1990,1995,1,0.2,"First Baseman, Outfielder"
"6429","Kent Hrbek",1990,"Minnesota Twins",143,2.1,3.752,1.9,"re-signinging",5,1990,1995,1,0.2,"First Baseman"
"9149","Tom Brunansky",1990,"Minnesota Twins",148,1.5,2.68,1.592,"re-signinging",6,1985,1991,6,1,"Rightfielder"
"1723","Bobby Bonilla",1991,"New York Mets",157,2.4,4.113,3.9,"free agency",5,1992,1997,0,0,"Third Baseman, Rightfielder, First Baseman"
"3141","Darryl Strawberry",1991,"Los Angeles Dodgers",139,3.8,6.513,3.6,"free agency",5,1991,1996,1,0.2,"Rightfielder"
"3842","Don Mattingly",1991,"New York Yankees",152,3.42,5.862,1.6,"re-signinging",5,1990,1995,2,0.4,"First Baseman, Outfielder"
"6585","Kent Hrbek",1991,"Minnesota Twins",132,2.6,4.456,2.7,"re-signinging",5,1990,1995,2,0.4,"First Baseman"
"1739","Bobby Bonilla",1992,"New York Mets",128,6.1,10.147,1.4,"free agency",5,1992,1997,1,0.2,"Third Baseman, Rightfielder, First Baseman"
"3157","Darryl Strawberry",1992,"Los Angeles Dodgers",43,4.05,6.737,0.2,"free agency",5,1991,1996,2,0.4,"Rightfielder"
"3855","Don Mattingly",1992,"New York Yankees",157,3.62,6.022,2.7,"re-signinging",5,1990,1995,3,0.6,"First Baseman, Outfielder"
"6663","Kent Hrbek",1992,"Minnesota Twins",112,3.1,5.157,1.6,"re-signinging",5,1990,1995,3,0.6,"First Baseman"
"1755","Bobby Bonilla",1993,"New York Mets",139,6.2,10.019,3.2,"free agency",5,1992,1997,2,0.4,"Third Baseman, Rightfielder, First Baseman"
"3173","Darryl Strawberry",1993,"Los Angeles Dodgers",32,3.8,6.141,-1,"free agency",5,1991,1996,3,0.6,"Rightfielder"
