"","decade","color","detail","lon","lat"
"1","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1966: Sunny Bippus in Norman Cay, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1964.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1966<br><b>Model(s):</b> Sunny Bippus<br><b>Location:</b> Norman Cay, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-76.8158718,24.6118035
"2","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1967: Marilyn Tindall in Scottsdale, Arizona</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1965.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1967<br><b>Model(s):</b> Marilyn Tindall<br><b>Location:</b> Scottsdale, Arizona<br><b>Bikini:</b> FALSE</td></tr></table>",-110.8863,33.51942
"3","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1969: Jamee Becker in Trujillo Alto, Puerto Rico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1966.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1969<br><b>Model(s):</b> Jamee Becker<br><b>Location:</b> Trujillo Alto, Puerto Rico<br><b>Bikini:</b> TRUE</td></tr></table>",-66.00489,18.34689
"4","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1968: Turia Mau in Leeward Islands, French Polynesia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1967.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1968<br><b>Model(s):</b> Turia Mau<br><b>Location:</b> Leeward Islands, French Polynesia<br><b>Bikini:</b> TRUE</td></tr></table>",-151.452,-16.73725
"5","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1964: Babette March in Cozumel, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1968.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1964<br><b>Model(s):</b> Babette March<br><b>Location:</b> Cozumel, Mexico<br><b>Bikini:</b> TRUE</td></tr></table>",-86.98,20.47
"6","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1965: Sue Peterson in Baja, California, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1969.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1965<br><b>Model(s):</b> Sue Peterson<br><b>Location:</b> Baja, California, Mexico<br><b>Bikini:</b> FALSE</td></tr></table>",-111.6661,26.04444
"7","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1971: Tannia Rubiano in Bayahibe , Dominican Republic</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1970.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1971<br><b>Model(s):</b> Tannia Rubiano<br><b>Location:</b> Bayahibe , Dominican Republic<br><b>Bikini:</b> TRUE</td></tr></table>",-68.75127,18.31891
"8","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1978: Maria Joao in Bahia, Brazil</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1971.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1978<br><b>Model(s):</b> Maria Joao<br><b>Location:</b> Bahia, Brazil<br><b>Bikini:</b> FALSE</td></tr></table>",-38.34191,-12.94507
"9","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1975: Cheryl Tiegs in Cancun, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1972.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1975<br><b>Model(s):</b> Cheryl Tiegs<br><b>Location:</b> Cancun, Mexico<br><b>Bikini:</b> TRUE</td></tr></table>",-86.81701,21.12955
"10","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1970: Cheryl Tiegs in Big Island, Hawaii</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1973.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1970<br><b>Model(s):</b> Cheryl Tiegs<br><b>Location:</b> Big Island, Hawaii<br><b>Bikini:</b> FALSE</td></tr></table>",-155.9969,20.70694
"11","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1972: Sheila Roscoe in Marina del Rey, California</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1974.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1972<br><b>Model(s):</b> Sheila Roscoe<br><b>Location:</b> Marina del Rey, California<br><b>Bikini:</b> FALSE</td></tr></table>",-118.4517449,33.9802893
"12","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1974: Ann Simonton in Palmas del Mar, Puerto Rico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1975.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1974<br><b>Model(s):</b> Ann Simonton<br><b>Location:</b> Palmas del Mar, Puerto Rico<br><b>Bikini:</b> TRUE</td></tr></table>",-65.797939,18.0819088
"13","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1976: Yvette & Yvonne Sylvander in Cabo San Lucas, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1976.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1976<br><b>Model(s):</b> Yvette & Yvonne Sylvander<br><b>Location:</b> Cabo San Lucas, Mexico<br><b>Bikini:</b> TRUE,FALSE</td></tr></table>",-109.9167,22.89053
"14","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1973: Dayle Haddon in Great Exuma, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1977.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1973<br><b>Model(s):</b> Dayle Haddon<br><b>Location:</b> Great Exuma, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-75.833333,23.533333
"15","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1977: Lena Kansbod in Maui, Hawaii</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1978.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1977<br><b>Model(s):</b> Lena Kansbod<br><b>Location:</b> Maui, Hawaii<br><b>Bikini:</b> FALSE</td></tr></table>",-156.13,20.84
"16","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1979: Christie Brinkley in Seychelles</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1979.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1979<br><b>Model(s):</b> Christie Brinkley<br><b>Location:</b> Seychelles<br><b>Bikini:</b> FALSE</td></tr></table>",55.84124,-4.359097
"17","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1983: Cheryl Tiegs in Jamaica</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1980.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1983<br><b>Model(s):</b> Cheryl Tiegs<br><b>Location:</b> Jamaica<br><b>Bikini:</b> FALSE</td></tr></table>",-76.30921,18.03264
"18","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1989: Kathy Ireland in Baja, California, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1981.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1989<br><b>Model(s):</b> Kathy Ireland<br><b>Location:</b> Baja, California, Mexico<br><b>Bikini:</b> TRUE</td></tr></table>",-110.07,22.97
"19","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1988: Elle Macpherson in Phang-nga, Thailand</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1982.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1988<br><b>Model(s):</b> Elle Macpherson<br><b>Location:</b> Phang-nga, Thailand<br><b>Bikini:</b> FALSE</td></tr></table>",98.5193,8.440746
"20","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1985: Paulina Porizkova in Shark Bay, Australia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1983.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1985<br><b>Model(s):</b> Paulina Porizkova<br><b>Location:</b> Shark Bay, Australia<br><b>Bikini:</b> TRUE</td></tr></table>",114.0488007,-25.9168258
"21","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1984: Paulina Porizkova in Aruba, Netherlands Antilles</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1984.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1984<br><b>Model(s):</b> Paulina Porizkova<br><b>Location:</b> Aruba, Netherlands Antilles<br><b>Bikini:</b> FALSE</td></tr></table>",-68.9360279,12.1117167
"22","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1980: Christie Brinkley in Virgin Gorda, British Virgin Islands</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1985.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1980<br><b>Model(s):</b> Christie Brinkley<br><b>Location:</b> Virgin Gorda, British Virgin Islands<br><b>Bikini:</b> TRUE</td></tr></table>",-64.40229,18.49391
"23","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1982: Carol Alt in Malindi, Kenya</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1986.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1982<br><b>Model(s):</b> Carol Alt<br><b>Location:</b> Malindi, Kenya<br><b>Bikini:</b> FALSE</td></tr></table>",40.11689,-3.219186
"24","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1986: Elle Macpherson in Bora Bora, French Polynesia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1987.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1986<br><b>Model(s):</b> Elle Macpherson<br><b>Location:</b> Bora Bora, French Polynesia<br><b>Bikini:</b> FALSE</td></tr></table>",-151.7,-16.48
"25","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1981: Christie Brinkley in Captiva, Florida</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1988.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1981<br><b>Model(s):</b> Christie Brinkley<br><b>Location:</b> Captiva, Florida<br><b>Bikini:</b> TRUE</td></tr></table>",-82.1892614,26.5220227
"26","1980s","#216AA0","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1987: Elle Macpherson in Casa De Campo, Dominican Republic</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1989.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1987<br><b>Model(s):</b> Elle Macpherson<br><b>Location:</b> Casa De Campo, Dominican Republic<br><b>Bikini:</b> FALSE</td></tr></table>",-68.91215,18.42424
"27","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1994: Rachel Hunter, Kathy Ireland & Elle Macpherson in Beverly Hills, CA</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1990.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1994<br><b>Model(s):</b> Rachel Hunter, Kathy Ireland & Elle Macpherson<br><b>Location:</b> Beverly Hills, CA<br><b>Bikini:</b> TRUE</td></tr></table>",-118.4003563,34.0736204
"28","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1990: Judit Masco in Grenadine Islands</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1991.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1990<br><b>Model(s):</b> Judit Masco<br><b>Location:</b> Grenadine Islands<br><b>Bikini:</b> FALSE</td></tr></table>",-61.47,12.47
"29","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1997: Tyra Banks in Harbor Island, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1992.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1997<br><b>Model(s):</b> Tyra Banks<br><b>Location:</b> Harbor Island, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-76.6340511,25.50011
"30","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1993: Vendela in Islamorada, Florida Keys</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1993.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1993<br><b>Model(s):</b> Vendela<br><b>Location:</b> Islamorada, Florida Keys<br><b>Bikini:</b> FALSE</td></tr></table>",-80.6278364,24.9242943
"31","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1992: Kathy Ireland in Lanzarote, Spain</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1994.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1992<br><b>Model(s):</b> Kathy Ireland<br><b>Location:</b> Lanzarote, Spain<br><b>Bikini:</b> TRUE</td></tr></table>",-13.56031,29.06007
"32","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1995: Daniela Pestova in Bermuda</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1995.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1995<br><b>Model(s):</b> Daniela Pestova<br><b>Location:</b> Bermuda<br><b>Bikini:</b> TRUE</td></tr></table>",-64.7505,32.3078
"33","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1996: Tyra Banks & Valeria Mazza in Sandown Bay, Kleinmond, South Africa</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1996.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1996<br><b>Model(s):</b> Tyra Banks & Valeria Mazza<br><b>Location:</b> Sandown Bay, Kleinmond, South Africa<br><b>Bikini:</b> TRUE</td></tr></table>",19.1565,-34.20684
"34","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1999: Rebecca Romijn-Stamos in Necker Island, British Virgin Islands</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1997.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1999<br><b>Model(s):</b> Rebecca Romijn-Stamos<br><b>Location:</b> Necker Island, British Virgin Islands<br><b>Bikini:</b> TRUE</td></tr></table>",-64.3586276,18.5267666
"35","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1991: Ashley Montana in Turks and Caicos Islands</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1998.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1991<br><b>Model(s):</b> Ashley Montana<br><b>Location:</b> Turks and Caicos Islands<br><b>Bikini:</b> FALSE</td></tr></table>",77.73,24.38
"36","1990s","#C60C30","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1998: Heidi Klum in Vabbinfaru, Maldives</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1999.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1998<br><b>Model(s):</b> Heidi Klum<br><b>Location:</b> Vabbinfaru, Maldives<br><b>Bikini:</b> FALSE</td></tr></table>",73.423546,4.3096261
"37","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2005: Carolyn Murphy in Andros Island, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2000.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2005<br><b>Model(s):</b> Carolyn Murphy<br><b>Location:</b> Andros Island, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-77.93,24.58
"38","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2009: Bar Refaeli in Canouan Island, the Grenadines</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2001.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2009<br><b>Model(s):</b> Bar Refaeli<br><b>Location:</b> Canouan Island, the Grenadines<br><b>Bikini:</b> TRUE</td></tr></table>",-61.32394,12.72549
"39","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2007: Beyonce Knowles in Key Biscayne, Florida</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2002.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2007<br><b>Model(s):</b> Beyonce Knowles<br><b>Location:</b> Key Biscayne, Florida<br><b>Bikini:</b> TRUE</td></tr></table>",-80.1628248,25.693713
"40","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2004: Veronica Varekova in Montauk, NY</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2003.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2004<br><b>Model(s):</b> Veronica Varekova<br><b>Location:</b> Montauk, NY<br><b>Bikini:</b> TRUE</td></tr></table>",-71.5798,41.1507
"41","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2002: Yamila Diaz-Rahi in Cruz de Loreto, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2004.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2002<br><b>Model(s):</b> Yamila Diaz-Rahi<br><b>Location:</b> Cruz de Loreto, Mexico<br><b>Bikini:</b> TRUE</td></tr></table>",-99.1888716,19.3390556
"42","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2003: Petra Nemcova in St. James, Barbados</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2005.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2003<br><b>Model(s):</b> Petra Nemcova<br><b>Location:</b> St. James, Barbados<br><b>Bikini:</b> TRUE</td></tr></table>",-59.6276259,13.1939911
"43","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2008: Marisa Miller in St. John, U.S. Virgin Islands</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2006.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2008<br><b>Model(s):</b> Marisa Miller<br><b>Location:</b> St. John, U.S. Virgin Islands<br><b>Bikini:</b> TRUE</td></tr></table>",-64.7399494,18.3274718
"44","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2000: Daniela Pestova in Pangkor Laut, Malaysia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2007.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2000<br><b>Model(s):</b> Daniela Pestova<br><b>Location:</b> Pangkor Laut, Malaysia<br><b>Bikini:</b> TRUE</td></tr></table>",100.54,4.1908333
"45","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2001: Elsa Benitez in Tamerza, Tunisia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2008.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2001<br><b>Model(s):</b> Elsa Benitez<br><b>Location:</b> Tamerza, Tunisia<br><b>Bikini:</b> TRUE</td></tr></table>",7.947592,34.393711
"46","2000s","#008080","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2006: Elsa Benitez, Yamila Diaz-Rahi, Rachel Hunter, Elle Macpherson, Carolyn Murphy, Daniela Pestova, Rebecca Romijn & Veronica Varekova in Harbour Island, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2009.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2006<br><b>Model(s):</b> Elsa Benitez, Yamila Diaz-Rahi, Rachel Hunter, Elle Macpherson, Carolyn Murphy, Daniela Pestova, Rebecca Romijn & Veronica Varekova<br><b>Location:</b> Harbour Island, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-76.6340511,25.50011
"47","2010s","#703913","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2012: Kate Upton in Sydney, Australia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2010.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2012<br><b>Model(s):</b> Kate Upton<br><b>Location:</b> Sydney, Australia<br><b>Bikini:</b> TRUE</td></tr></table>",151.2065,-33.86145
"48","2010s","#703913","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2010: Brooklyn Decker in Dhigu, Maldives Islands</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2011.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2010<br><b>Model(s):</b> Brooklyn Decker<br><b>Location:</b> Dhigu, Maldives Islands<br><b>Bikini:</b> TRUE</td></tr></table>",73.55,3.48
"49","2010s","#703913","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2013: Kate Upton in Antarctica</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2012.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2013<br><b>Model(s):</b> Kate Upton<br><b>Location:</b> Antarctica<br><b>Bikini:</b> TRUE</td></tr></table>",-135,-82.8627519
"50","2010s","#703913","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>2011: Irina Shayk in Maui, Hawaii</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/2013.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 2011<br><b>Model(s):</b> Irina Shayk<br><b>Location:</b> Maui, Hawaii<br><b>Bikini:</b> TRUE</td></tr></table>",-156.3319,20.79836
